trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
23481547,7/1/2019 7:43,7/1/2019 8:05,6022,"1,307.00",61,Wood St & Milwaukee Ave,81,Daley Center Plaza,Subscriber,Male,1991
23481548,7/1/2019 7:43,7/1/2019 8:12,1620,"1,735.00",250,Ashland Ave & Wellington Ave,233,Sangamon St & Washington Blvd,Subscriber,Male,1986
23481550,7/1/2019 7:44,7/1/2019 8:09,1936,"1,528.00",3,Shedd Aquarium,150,Fort Dearborn Dr & 31st St,Subscriber,Male,1950
23481551,7/1/2019 7:44,7/1/2019 7:49,954,300,636,Orleans St & Hubbard St,84,Milwaukee Ave & Grand Ave,Subscriber,Female,1988
23481552,7/1/2019 7:44,7/1/2019 8:01,3370,"1,017.00",224,Halsted St & Willow St,91,Clinton St & Washington Blvd,Subscriber,Male,1992
23481554,7/1/2019 7:44,7/1/2019 7:48,91,266,327,Sheffield Ave & Webster Ave,93,Sheffield Ave & Willow St,Subscriber,Female,1996
23481555,7/1/2019 7:44,7/1/2019 7:57,208,782,77,Clinton St & Madison St,186,Ogden Ave & Race Ave,Subscriber,Male,1995
23481557,7/1/2019 7:44,7/1/2019 7:47,3939,177,176,Clark St & Elm St,337,Clark St & Chicago Ave,Subscriber,Female,1987
23481558,7/1/2019 7:44,7/1/2019 7:52,5391,465,182,Wells St & Elm St,145,Mies van der Rohe Way & Chestnut St,Subscriber,Female,1992
23481559,7/1/2019 7:44,7/1/2019 7:50,4717,390,80,Aberdeen St & Monroe St,73,Jefferson St & Monroe St,Subscriber,Male,1985
23481564,7/1/2019 7:44,7/1/2019 8:20,5448,"2,172.00",439,Kedzie Ave & 21st St,184,State St & 35th St,Customer,Male,1993
23481565,7/1/2019 7:44,7/1/2019 7:51,6447,433,192,Canal St & Adams St,50,Clark St & Ida B Wells Dr,Subscriber,Male,1968
23481566,7/1/2019 7:44,7/1/2019 7:47,6309,187,107,Desplaines St & Jackson Blvd,36,Franklin St & Jackson Blvd,Subscriber,Male,1993
23481567,7/1/2019 7:44,7/1/2019 7:53,5415,512,182,Wells St & Elm St,25,Michigan Ave & Pearson St,Subscriber,Male,1986
23481568,7/1/2019 7:44,7/1/2019 7:55,1980,645,192,Canal St & Adams St,125,Rush St & Hubbard St,Subscriber,Male,1988
23481569,7/1/2019 7:44,7/1/2019 7:55,3505,661,192,Canal St & Adams St,195,Columbus Dr & Randolph St,Subscriber,Male,1972
23481570,7/1/2019 7:44,7/1/2019 7:58,4088,800,632,Clark St & Newport St,307,Southport Ave & Clybourn Ave,Subscriber,Male,1993
23481571,7/1/2019 7:44,7/1/2019 7:56,5856,722,168,Michigan Ave & 14th St,107,Desplaines St & Jackson Blvd,Subscriber,Female,1986
23481572,7/1/2019 7:44,7/1/2019 7:53,1237,528,192,Canal St & Adams St,43,Michigan Ave & Washington St,Subscriber,Male,1987
23481573,7/1/2019 7:44,7/1/2019 7:53,849,505,86,Eckhart Park,217,Elizabeth (May) St & Fulton St,Subscriber,Male,1993
23481574,7/1/2019 7:45,7/1/2019 7:51,824,385,183,Damen Ave & Thomas St (Augusta Blvd),69,Damen Ave & Pierce Ave,Subscriber,Male,1992
23481575,7/1/2019 7:45,7/1/2019 7:55,4916,628,66,Clinton St & Lake St,199,Wabash Ave & Grand Ave,Subscriber,Male,1989
23481576,7/1/2019 7:45,7/1/2019 7:58,1174,813,638,Clinton St & Jackson Blvd,261,Hermitage Ave & Polk St,Subscriber,Female,1965
23481578,7/1/2019 7:45,7/1/2019 7:53,2352,495,164,Franklin St & Lake St,195,Columbus Dr & Randolph St,Subscriber,Male,1990
23481579,7/1/2019 7:45,7/1/2019 7:56,5894,655,192,Canal St & Adams St,199,Wabash Ave & Grand Ave,Subscriber,Male,1975
23481580,7/1/2019 7:45,7/1/2019 8:01,1363,976,110,Dearborn St & Erie St,621,Aberdeen St & Randolph St,Subscriber,Male,1995
23481581,7/1/2019 7:45,7/1/2019 7:56,2036,678,153,Southport Ave & Wellington Ave,303,Broadway & Cornelia Ave,Subscriber,Male,1991
23481582,7/1/2019 7:45,7/1/2019 7:55,6406,611,133,Kingsbury St & Kinzie St,192,Canal St & Adams St,Subscriber,Male,1984
23481585,7/1/2019 7:45,7/1/2019 8:08,4651,"1,420.00",157,Lake Shore Dr & Wellington Ave,7,Field Blvd & South Water St,Subscriber,Male,1987
23481586,7/1/2019 7:45,7/1/2019 7:51,6235,396,133,Kingsbury St & Kinzie St,199,Wabash Ave & Grand Ave,Subscriber,Male,1969
